"zip5","PCSA"
"02048","25021410100"
"02050","25023505200"
"02051","25023508101"
"02052","25021406102"
"02053","25021408101"
"02054","25021406102"
"02055","25023505200"
"02056","25021413401"
"02059","25023508101"
"02060","25023505200"
"02061","25023504101"
"02062","25021413401"
"02065","25023508101"
"02066","25023505200"
"02067","25021415102"
"02070","25021410100"
"02071","25021413401"
"02072","25023510503"
"02081","25021413401"
"02090","25021413401"
"02093","25021410100"
"02108","25025020301"
"02109","25025030400"
"02110","25025070200"
"02111","25025070200"
"02112","25025030400"
"02113","25025030400"
"02114","25025020301"
"02115","25025071101"
"02116","25025020301"
"02117","25025020301"
"02118","25025071101"
"02119","25025071101"
"02120","25025071101"
"02121","25025071101"
"02122","25025100800"
"02123","25025081001"
"02124","25025100800"
"02125","25025050600"
"02126","25025071101"
"02127","25025060800"
"02128","25025050600"
"02129","25025040300"
"02130","25025120103"
"02131","25025120103"
"02132","25025120103"
"02133","25025140300"
"02134","25025000602"
"02135","25025000602"
"02136","25025140300"
"02137","25021402500"
"02138","25017354200"
"02139","25025020301"
"02140","25017354600"
"02141","25025020301"
"02142","25025020301"
"02143","25025020301"
"02144","25017351100"
"02145","25025020301"
"02148","25017341200"
"02149","25017342400"
"02150","25025160601"
"02151","25025170501"
"02152","25025050600"
"02153","25017339100"
"02155","25017339100"
"02156","25017339100"
"02163","25025000602"
"02169","25021418003"
"02170","25021418003"
"02171","25021418003"
"02176","25017336200"
"02180","25017337102"
"02184","25021419600"
"02185","25021418003"
"02186","25021416101"
"02187","25021416101"
"02188","25021422301"
"02189","25021422301"
"02190","25021422301"
"02191","25021422301"
"02196","25025030400"
"02199","25025020301"
"02201","25025030400"
"02203","25025030400"
"02204","25025030400"
"02205","25025060800"
"02206","25025030400"
"02210","25025060800"
"02211","25025030400"
"02212","25025030400"
"02215","25025081001"
"02217","25025070200"
"02222","25025020301"
"02228","25025050600"
"02238","25025020301"
"02241","25025030400"
"02266","25025030400"
"02269","25021418003"
"02283","25025070200"
"02284","25025070200"
"02293","25025030400"
"02295","25025070200"
"02297","25025030400"
"02298","25025060800"
"02301","25023510503"
"02302","25023510503"
"02303","25023510503"
"02304","25023510503"
"02305","25023510503"
"02322","25023510503"
"02324","25023510503"
"02325","25023510503"
"02327","25023508101"
"02330","25023530200"
"02331","25023530200"
"02332","25023530200"
"02333","25023523202"
"02334","25023510503"
"02337","25023510503"
"02338","25023526100"
"02339","25023504101"
"02340","25023508101"
"02341","25023523202"
"02343","25023510503"
"02344","25023542300"
"02345","25023530200"
"02346","25023542300"
"02347","25023542300"
"02348","25023542300"
"02349","25023542300"
"02350","25023523202"
"02351","25021422100"
"02355","25023530200"
"02356","25023510503"
"02357","25023510503"
"02358","25023508101"
"02359","25023508101"
"02360","25023530200"
"02361","25023530200"
"02362","25023530200"
"02364","25023509101"
"02366","25023530200"
"02367","25023526100"
"02368","25023510503"
"02370","25021422100"
"02375","25023510503"
"02379","25023510503"
"02381","25023530200"
"02382","25023523202"
"02420","25017332400"
"02421","25017332400"
"02445","25025081001"
"02446","25025081001"
"02447","25025081001"
"02451","25017368500"
"02452","25017368500"
"02453","25017368500"
"02454","25017368500"
"02455","25017368500"
"02456","25025000602"
"02457","25017374300"
"02458","25017374300"
"02459","25017374300"
"02460","25017374300"
"02461","25017374300"
"02462","25017374300"
"02464","25017374300"
"02465","25017374300"
"02466","25017374300"
"02467","25025081001"
"02468","25017374300"
"02471","25017370300"
"02472","25017370300"
"02474","25017332400"
"02475","25017332400"
"02476","25017332400"
"02477","25017332400"
"02478","25017354600"
"02479","25017354600"
"02481","25017374300"
"02482","25017374300"
"02492","25021403300"
"02493","25017374300"
"02494","25021403300"
"02495","25017374300"
"02532","25023545400"
"02534","25001014900"
"02535","25007200200"
"02536","25001014900"
"02537","25001013600"
"02538","25023545400"
"02539","25007200200"
"02540","25001014900"
"02541","25001014900"
"02542","25001014900"
"02543","25001014900"
"02552","25007200200"
"02553","25001014900"
"02554","25019950100"
"02556","25001014900"
"02557","25007200200"
"02558","25023545400"
"02559","25001014900"
"02561","25001013600"
"02562","25001013600"
"02563","25001013600"
"02564","25019950100"
"02565","25009221300"
"02568","25007200200"
"02571","25023545400"
"02573","25007200200"
"02574","25001014900"
"02575","25007200200"
"02576","25023545400"
"02584","25019950100"
"02601","25001012602"
"02630","25001012602"
"02631","25001011100"
"02632","25001012602"
"02633","25001011100"
"02634","25001012602"
"02635","25001012602"
"02636","25001012602"
"02637","25001012602"
"02638","25001012502"
"02639","25001011100"
"02641","25001012502"
"02642","25001010500"
"02643","25001010500"
"02644","25001013600"
"02645","25001011100"
"02646","25001011100"
"02647","25001012502"
"02648","25001012602"
"02649","25001014900"
"02650","25001011100"
"02651","25001010500"
"02652","25001010100"
"02653","25001010500"
"02655","25001012602"
"02657","25001010100"
"02659","25001011100"
"02660","25001012502"
"02661","25001011100"
"02662","25001010500"
"02663","25001010206"
"02664","25001012502"
"02666","25001010100"
"02667","25001010206"
"02668","25001012602"
"02669","25001011100"
"02670","25001011100"
"02671","25001011100"
"02672","25001012502"
"02673","25001012502"
"02675","25001012502"
"026MH","25001011100"
"02702","25005642500"
"02703","25005631600"
"02712","25005611102"
"02713","25007200200"
"02714","25005653102"
"02715","25005615100"
"02717","25005642500"
"02718","25005613800"
"02719","25005653102"
"02720","25005642500"
"02721","25005641200"
"02722","25005641200"
"02723","25005642500"
"02724","25005641200"
"02725","25005642500"
"02726","25005642500"
"02738","25023545400"
"02739","25005653102"
"02740","25005653102"
"02741","25005653102"
"02742","25005653102"
"02743","25005653102"
"02744","25005653102"
"02745","25005653102"
"02746","25005653102"
"02747","25005653102"
"02748","25005653102"
"02760","25005631600"
"02761","25005631600"
"02762","25021440100"
"02763","25005631600"
"02764","25005615100"
"02766","25005611102"
"02767","25023510503"
"02768","25023510503"
"02769","25005633200"
"02770","25023545400"
"02771","44007016700"
"02777","25005642500"
"02779","25005615100"
"02780","25005613800"
"02783","25005613800"
"02790","25005646104"
"02791","25005646104"
"02801","44005041602"
"02802","44007011600"
"02804","44009050700"
"02806","44001030902"
"02807","44009041500"
"02808","44009050700"
"02809","44001030902"
"02812","44009050700"
"02813","44009051202"
"02814","44007012900"
"02815","44007012401"
"02816","44003020703"
"02817","44003020703"
"02818","44003020903"
"02822","44009051202"
"02823","44007012401"
"02824","44007011600"
"02825","44007012900"
"02826","44007012900"
"02827","44003020703"
"02828","44007012702"
"02829","44007012900"
"02830","44007012900"
"02831","44007012401"
"02832","44009050700"
"02833","44009050700"
"02835","44005041300"
"02836","44009050700"
"02837","44005041602"
"02838","44007011600"
"02839","44007012900"
"02840","44005040800"
"02841","44005040800"
"02842","44005040800"
"02852","44009050302"
"02854","44009050302"
"02857","44007012401"
"02858","44007012900"
"02859","44007012900"
"02860","44007016600"
"02861","44007016700"
"02862","44007016700"
"02863","44007016700"
"02864","44007011600"
"02865","44007011600"
"02871","44005040800"
"02872","44005040800"
"02873","44009050700"
"02874","44009051202"
"02875","44009050700"
"02876","44007011600"
"02877","44009050302"
"02878","44005041602"
"02879","44009051202"
"02880","44009051202"
"02881","44009051202"
"02882","44009051202"
"02883","44009051202"
"02885","44001030902"
"02886","44003020903"
"02887","44003022202"
"02888","44003021100"
"02889","44003021100"
"02891","44009050901"
"02892","44009051202"
"02893","44003022202"
"02894","44009050700"
"02895","44007018500"
"02896","44007011600"
"02898","44009050700"
"02901","44007016600"
"02902","44007012401"
"02903","44007000600"
"02904","44007012000"
"02905","44007013701"
"02906","44007016600"
"02907","44007000600"
"02908","44007000600"
"02909","44007000600"
"02910","44007013701"
"02911","44007012000"
"02912","44007010400"
"02914","44007010300"
"02915","44007010300"
