NDC,MRX_CAT
00008083321,MRX3
00008083322,MRX3
00008083601,MRX3
00008083602,MRX3
00008083603,MRX3
00008083620,MRX3
00008083621,MRX3
00008083622,MRX3
00008083701,MRX3
00008083702,MRX3
00008083703,MRX3
00008083720,MRX3
00008083721,MRX3
00008083722,MRX3
00008121101,MRX3
00008121114,MRX3
00008121130,MRX3
00008121150,MRX3
00008122201,MRX3
00008122214,MRX3
00008122230,MRX3
00008122250,MRX3
00008411701,MRX15
00008412601,MRX2
00008413001,MRX15
00008413201,MRX3
00008413301,MRX3
00008413901,MRX2
00008413905,MRX2
00008415201,MRX2
00008415203,MRX2
00008415301,MRX2
00008415303,MRX2
00008415401,MRX2
00008415402,MRX2
00008415801,MRX3
00008415901,MRX2
00008416101,MRX2
00008417701,MRX2
00008417901,MRX2
00008418804,MRX2
00008418806,MRX2
00008419201,MRX2
00008451001,MRX11
00008499001,MRX9
00008499002,MRX9
00008499019,MRX9
00008499020,MRX9
00008536001,MRX9
00008536002,MRX9
00009000202,MRX13
00009000402,MRX13
00009000406,MRX13
00009000602,MRX13
00009000606,MRX13
00009000802,MRX13
00009000803,MRX13
00009003702,MRX13
00009003706,MRX13
00009007002,MRX4
00009011404,MRX4
00009011405,MRX4
00009012101,MRX2
00009013101,MRX4
00009013701,MRX2
00009014101,MRX4
00009014102,MRX4
00009017103,MRX4
00009017105,MRX4
00009017106,MRX4
00009017107,MRX4
00009017111,MRX4
00009017112,MRX4
00009026801,MRX1
00009026802,MRX1
00009026812,MRX1
00009029101,MRX1
00009031702,MRX1
00009031710,MRX1
00009031711,MRX1
00009034101,MRX4
00009034102,MRX4
00009035201,MRX4
00009035202,MRX4
00009035203,MRX4
00009035204,MRX4
00009037301,MRX11
00009047301,MRX11
00009047706,MRX4
00009084401,MRX11
00009111101,MRX11
00009111102,MRX11
00009316906,MRX2
00009329501,MRX11
00009329601,MRX11
00009344901,MRX4
00009344903,MRX4
00009376103,MRX8
00009379401,MRX2
00009379422,MRX2
00009379444,MRX2
00009501201,MRX4
00009501301,MRX4
00009501401,MRX4
00009509101,MRX11
00009509301,MRX11
00009513502,MRX9
00009513503,MRX9
00009513601,MRX9
00009513701,MRX9
00009514001,MRX9
00009521501,MRX11
00009521601,MRX11
00009521901,MRX11
00009752901,MRX11
00009752902,MRX11
00009752903,MRX11
00009752904,MRX11
00009752905,MRX11
00009757601,MRX8
00009766304,MRX11
00009766401,MRX11
00013010501,MRX10
00013010520,MRX10
00013013202,MRX11
00013103691,MRX11
00013104694,MRX11
00013105694,MRX11
00013108691,MRX11
00013109691,MRX11
00013109694,MRX11
00013110679,MRX11
00013111683,MRX11
00013113691,MRX11
00013114691,MRX11
00013115679,MRX11
00013116683,MRX11
00013117687,MRX11
00013123691,MRX11
00013124691,MRX11
00013125679,MRX11
00013126683,MRX11
00013128683,MRX11
00013220001,MRX11
00013220101,MRX11
00013220201,MRX11
00013240691,MRX1
00013242601,MRX1
00013242691,MRX1
00013243606,MRX1
00013252686,MRX11
00013253678,MRX11
00013254686,MRX11
00013255667,MRX11
00013257691,MRX11
00013258691,MRX11
00013259691,MRX11
00013519001,MRX1
00013519101,MRX1
00013530117,MRX15
00013560693,MRX11
00013561693,MRX11
00013562693,MRX11
00013563670,MRX11
00013564670,MRX11
00013709173,MRX11
00013710678,MRX11
00013733691,MRX11
00013734694,MRX11
00013735688,MRX11
00013745686,MRX11
00013746686,MRX11
00013871562,MRX11
00013871762,MRX11
00013872589,MRX11
00013872789,MRX11
00015050241,MRX11
00015050301,MRX11
00015050302,MRX11
00015050401,MRX11
00015050541,MRX11
00015050641,MRX11
00015053941,MRX11
00015054641,MRX11
00015054712,MRX11
00015054741,MRX11
00015054812,MRX11
00015054841,MRX11
00015054912,MRX11
00015054941,MRX11
00015055605,MRX11
00015055611,MRX11
00015055641,MRX11
00015055711,MRX11
00015055741,MRX11
00015059501,MRX11
00015059641,MRX11
00015059645,MRX11
00015059646,MRX11
00015191012,MRX11
00015191113,MRX11
00015300120,MRX11
00015300220,MRX11
00015300222,MRX11
00015301020,MRX11
00015301026,MRX11
00015301097,MRX11
00015301238,MRX11
00015301260,MRX11
00015301297,MRX11
00015301520,MRX9
00015301597,MRX9
00015302020,MRX9
00015302096,MRX9
00015302097,MRX9
00015302320,MRX9
00015302397,MRX9
00015303020,MRX11
00015303120,MRX11
00015303220,MRX11
00015303410,MRX11
00015305920,MRX11
00015306120,MRX11
00015306124,MRX11
00015306220,MRX11
00015306224,MRX11
00015306301,MRX11
00015306326,MRX11
00015307519,MRX11
00015307597,MRX11
00015308060,MRX11
00015308420,MRX11
00015309145,MRX11
00015309520,MRX11
00015309530,MRX11
00015309595,MRX11
00015321030,MRX11
00015321076,MRX11
00015321130,MRX11
00015321176,MRX11
00015321230,MRX11
00015321276,MRX11
00015321329,MRX11
00015321330,MRX11
00015321429,MRX11
00015321430,MRX11
00015321529,MRX11
00015321530,MRX11
00015321630,MRX11
00015322022,MRX11
00015322026,MRX11
00015322122,MRX11
00015322126,MRX11
00015323011,MRX11
00015323111,MRX11
00015323211,MRX11
00015323311,MRX11
00015335222,MRX11
00015335322,MRX11
00015340420,MRX11
00015347520,MRX11
00015347530,MRX11
00015347620,MRX11
00015347630,MRX11
00015347911,MRX11
00015350220,MRX9
00015350299,MRX9
00015350320,MRX9
00015350399,MRX9
00015350625,MRX9
00015351299,MRX9
00015355410,MRX11
00015355427,MRX11
00015355610,MRX11
00015355626,MRX11
00015356302,MRX11
00015356303,MRX11
00015356310,MRX11
00015356311,MRX11
00015356410,MRX11
00015356415,MRX11
00015356512,MRX11
00024022205,MRX11
00024059010,MRX11
00024059120,MRX11
00024059240,MRX11
00024059602,MRX11
00024059704,MRX11
00024059707,MRX11
00024059722,MRX11
00024060545,MRX11
00024061030,MRX11
00024079375,MRX11
00024120005,MRX2
00024120006,MRX2
00024120010,MRX2
00024120020,MRX2
00024120025,MRX2
00024120050,MRX2
00024120301,MRX2
00024120302,MRX2
00024120315,MRX2
00024120325,MRX2
00024230020,MRX2
00024230110,MRX2
00024414210,MRX2
00024414218,MRX2
00024414260,MRX2
00024581030,MRX3
00024581130,MRX3
00024581230,MRX3
00024582020,MRX11
00024582411,MRX11
00024584001,MRX11
00024584101,MRX11
00024585030,MRX2
00024585090,MRX2
00024585130,MRX2
00024585190,MRX2
00024585230,MRX2
00024585290,MRX2
00024585530,MRX2
00024585590,MRX2
00024585630,MRX2
00024585690,MRX2
00025016608,MRX11
00025100131,MRX2
00025100151,MRX2
00025100155,MRX2
00025101131,MRX2
00025101155,MRX2
00025102131,MRX2
00025103131,MRX2
00025103134,MRX2
00025104131,MRX2
00025104134,MRX2
00025171001,MRX2
00025171002,MRX2
00025171003,MRX2
00025172001,MRX2
00025172003,MRX2
00025177131,MRX2
00025185131,MRX2
00025185151,MRX2
00025185152,MRX2
00025186131,MRX2
00025186152,MRX2
00025189131,MRX2
00025189134,MRX2
00025189151,MRX2
00025190131,MRX2
00025190134,MRX2
00025191131,MRX2
00025191134,MRX2
00025201131,MRX2
00025201134,MRX2
00025202131,MRX2
00025202134,MRX2
00025273231,MRX2
00025273234,MRX2
00025273251,MRX2
00025274231,MRX2
00025274234,MRX2
00025274251,MRX2
00025275231,MRX2
00025275252,MRX2
00025276231,MRX2
00025510131,MRX2
00025520131,MRX2
00026037220,MRX6
00026037230,MRX6
00026037250,MRX6
00026037920,MRX6
00026037930,MRX6
00026037950,MRX6
00026066520,MRX6
00026066530,MRX6
00026066550,MRX6
00026067020,MRX6
00026067030,MRX6
00026067050,MRX6
00026285548,MRX2
00026285570,MRX2
00026286148,MRX4
00026286151,MRX4
00026286251,MRX4
00026286351,MRX4
00026378220,MRX6
00026378330,MRX6
00026378550,MRX6
00026378660,MRX6
00026378770,MRX6
00026379220,MRX6
00026379330,MRX6
00026379550,MRX6
00026379660,MRX6
00026379770,MRX6
00026815120,MRX11
00026816115,MRX11
00026848858,MRX11
00026884148,MRX2
00026884151,MRX2
00026884154,MRX2
00026884172,MRX2
00026885148,MRX2
00026885151,MRX2
00026885154,MRX2
00026886148,MRX2
00026886151,MRX2
00026971101,MRX11
00028002001,MRX3
00028002026,MRX3
00028002201,MRX3
00028002226,MRX3
00028003201,MRX3
00028003501,MRX2
00028004001,MRX3
00028004026,MRX3
00028004501,MRX3
00028004526,MRX3
00028005101,MRX2
00028005110,MRX2
00028005161,MRX2
00028005165,MRX2
00028005301,MRX2
00028007101,MRX2
00028007110,MRX2
00028007161,MRX2
00028007165,MRX2
00028007301,MRX2
00028013601,MRX3
00028014001,MRX3
00028420133,MRX2
00029315818,MRX4
00029315900,MRX4
00029315913,MRX4
00029315918,MRX4
00029315920,MRX4
00029316013,MRX4
00029316020,MRX4
00029316059,MRX4
00029320613,MRX3
00029320713,MRX3
00029320813,MRX3
00029321013,MRX3
00029321113,MRX3
00029321120,MRX3
00029321121,MRX3
00029321159,MRX3
00029321213,MRX3
00029321313,MRX3
00029321548,MRX3
00029460613,MRX3
00029460713,MRX3
00031664963,MRX2
00031664967,MRX2
00031890163,MRX2
00031890170,MRX2
00031890363,MRX2
00032110101,MRX2
00032110201,MRX2
00032110301,MRX2
00032420201,MRX3
00032420211,MRX3
00032420501,MRX3
00032420511,MRX3
00032421001,MRX3
00032421011,MRX3
00032449201,MRX3
00032449210,MRX3
00037015392,MRX2
00037027492,MRX2
00037027496,MRX2
00037027498,MRX2
00037043001,MRX14
00037043011,MRX14
00037043101,MRX14
00037043111,MRX14
00037044217,MRX14
00037044267,MRX14
00037500101,MRX2
00037500501,MRX2
00037501001,MRX2
00037502001,MRX2
00039005110,MRX4
00039005111,MRX4
00039005150,MRX4
00039005210,MRX4
00039005211,MRX4
00039005250,MRX4
00039005270,MRX4
00039005305,MRX4
00039006011,MRX2
00039006013,MRX2
00039006050,MRX2
00039006070,MRX2
00039006605,MRX2
00039006650,MRX2
00039006710,MRX2
00039006711,MRX2
00039006750,MRX2
00039006770,MRX2
00039007810,MRX2
00039007811,MRX2
00039010310,MRX2
00039010311,MRX2
00039010411,MRX2
00039010511,MRX2
00039010610,MRX2
00039022110,MRX4
00039022210,MRX4
00039022211,MRX4
00039022310,MRX4
00039022311,MRX4
00044012002,MRX13
00044012004,MRX13
00044182502,MRX2
00044182602,MRX2
00044182603,MRX2
00044182702,MRX2
00044502202,MRX2
00044502210,MRX2
00044502302,MRX2
00044502310,MRX2
00044502402,MRX2
00044502410,MRX2
00045025301,MRX3
00045025303,MRX3
00045025346,MRX3
00045025414,MRX3
00045025446,MRX3
00045025501,MRX3
00045025549,MRX3
00045063965,MRX14
00045064065,MRX14
00045064165,MRX14
00045064265,MRX14
00045064565,MRX14
00045064765,MRX14
00045068210,MRX2
00045068230,MRX2
00045068233,MRX2
00045068330,MRX2
00045068333,MRX2
00046042181,MRX2
00046042195,MRX2
00046042281,MRX2
00046042295,MRX2
00046042481,MRX2
00046042495,MRX2
00046042681,MRX2
00046042881,MRX2
00046042895,MRX2
00046045581,MRX2
00046045781,MRX2
00046045981,MRX2
00046047081,MRX2
00046047091,MRX2
00046047181,MRX2
00046047191,MRX2
00046047381,MRX2
00046047391,MRX2
00046047981,MRX2
00046047991,MRX2
00046048481,MRX2
00046048881,MRX2
00046326510,MRX2
00047083915,MRX2
00048580501,MRX2
00048580541,MRX2
00048580601,MRX2
00048580641,MRX2
00048580701,MRX2
00048580741,MRX2
00048591240,MRX2
00048592180,MRX2
00048592240,MRX2
00048594240,MRX2
00049155066,MRX4
00049155073,MRX4
00049156066,MRX4
00049156073,MRX4
00049162030,MRX4
00049392083,MRX3
00049396041,MRX3
00049396060,MRX3
00049397041,MRX3
00049397060,MRX3
00049398041,MRX3
00049398060,MRX3
00049399041,MRX3
00049399060,MRX3
00049411041,MRX4
00049411066,MRX4
00049411073,MRX4
00049412041,MRX4
00049412066,MRX4
00049412073,MRX4
00049490030,MRX3
00049490041,MRX3
00049490066,MRX3
00049490073,MRX3
00049491030,MRX3
00049491041,MRX3
00049491066,MRX3
00049491073,MRX3
00049491094,MRX3
00049494023,MRX3
00049496030,MRX3
00049496050,MRX3
00049510047,MRX3
00049534066,MRX3
00049534082,MRX3
00049535066,MRX3
00049536066,MRX3
00049536094,MRX3
00049537050,MRX3
00049538066,MRX3
00049539066,MRX3
00049571066,MRX3
00049572066,MRX3
00049573066,MRX3
00049574066,MRX3
00049577066,MRX3
00051504401,MRX2
00051504442,MRX2
00051504601,MRX2
00051504642,MRX2
00052010530,MRX3
00052010590,MRX3
00052010606,MRX3
00052010630,MRX3
00052010690,MRX3
00052010693,MRX3
00052010730,MRX3
00052010790,MRX3
00052010806,MRX3
00052010830,MRX3
00052010890,MRX3
00052010893,MRX3
00052010930,MRX3
00052011006,MRX3
00052011030,MRX3
00052011090,MRX3
00052011806,MRX3
00052011890,MRX3
00052011906,MRX3
00052011990,MRX3
00052060202,MRX11
00052060302,MRX11
00052083011,MRX1
00052083061,MRX1
00052213903,MRX3
00052213904,MRX3
00052214203,MRX3
00052214204,MRX3
00053623302,MRX6
00053761505,MRX6
