pcsa,zip,state_cd,zcta,fips_code,lat,lng,zip_type,ruca_code,census_region,census_division,distance_to_fqhc
47045964300,38024,TN,38024,045,36.0444,-89.3836,Zip Code Area,4,S,ESC,44.194967342826715
47045964300,38025,TN,38024,045,36.0345,-89.3856,Post Office or large volume customer,4,S,ESC,44.194967342826715
47045964300,38030,TN,38030,045,36.0169,-89.5134,Zip Code Area,5,S,ESC,47.036556341982845
47045964300,38034,TN,38034,033,35.909,-89.2453,Zip Code Area,2,S,ESC,60.84048729929766
47045964300,38047,TN,38047,045,36.0892,-89.4984,Zip Code Area,5,S,ESC,37.65231932427411
47045964300,38059,TN,38059,045,36.1009,-89.2514,Zip Code Area,4,S,ESC,40.5910376646756
47041920102,37166,TN,37166,041,35.9299,-85.8046,Zip Code Area,7,S,ESC,41.12035762345534
47041920102,37095,TN,37095,041,36.0067,-85.9678,Zip Code Area,6,S,ESC,43.605079483646705
47041920102,37059,TN,37059,041,35.9725,-85.9055,Zip Code Area,6,S,ESC,42.65840740683193
47041920102,37012,TN,37012,041,36.0711,-86.0372,Zip Code Area,6,S,ESC,42.64876892310588
47037016500,37246,TN,37246,037,36.1586,-86.79,Post Office or large volume customer,1,S,ESC,1.0125842274605479
47037016500,37250,TN,37214,037,36.1866,-86.7852,Post Office or large volume customer,1,S,ESC,5.7275563147974795
47037014400,37208,TN,37208,037,36.1762,-86.8076,Zip Code Area,1,S,ESC,0.0
47037014400,37213,TN,37213,037,36.1663,-86.7669,Zip Code Area,1,S,ESC,1.3162061368323945
47037014400,37228,TN,37228,037,36.1901,-86.8053,Zip Code Area,1,S,ESC,2.1755119281674626
47037014400,37243,TN,37243,037,36.165,-86.7821,Post Office or large volume customer,1,S,ESC,0.0
47037019004,37011,TN,37013,037,36.0601,-86.6722,Post Office or large volume customer,1,S,ESC,14.097451730689132
47045964300,38070,TN,38070,045,35.9515,-89.2401,Post Office or large volume customer,5,S,ESC,57.480905106350484
47037019004,37013,TN,37013,037,36.0595,-86.6592,Zip Code Area,1,S,ESC,14.097451730689132
47037019004,37222,TN,37211,037,36.1659,-86.7844,Post Office or large volume customer,1,S,ESC,6.318319579025755
47037019004,37241,TN,37214,037,36.1866,-86.7852,Post Office or large volume customer,1,S,ESC,5.7275563147974795
47039955002,38311,TN,38311,039,35.4521,-88.1286,Zip Code Area,8,S,ESC,28.750992303620198
47039955002,38329,TN,38329,039,35.5585,-88.1334,Zip Code Area,9,S,ESC,22.98135566791846
47039955002,38363,TN,38363,039,35.6664,-88.1195,Zip Code Area,10,S,ESC,23.19441708888093
47039955002,38374,TN,38374,039,35.505,-88.2405,Zip Code Area,8,S,ESC,34.652338128243194
47039955002,38380,TN,38380,039,35.792,-88.0322,Zip Code Area,10,S,ESC,23.9753753205287
47037019004,37211,TN,37211,037,36.0725,-86.724,Zip Code Area,1,S,ESC,6.318319579025755
47045964300,38080,TN,38080,095,36.2638,-89.4858,Zip Code Area,5,S,ESC,25.041622983541195
47045964300,38259,TN,38259,045,36.2011,-89.1863,Zip Code Area,4,S,ESC,35.61939774235463
47047060800,38010,TN,38068,047,35.2886,-89.488,Post Office or large volume customer,2,S,ESC,31.648921925889553
47157021311,38137,TN,38117,157,35.2017,-89.9715,Post Office or large volume customer,1,S,ESC,9.148490231264912
47157021311,38138,TN,38138,157,35.0883,-89.8053,Zip Code Area,1,S,ESC,19.323300589254956
47157021311,38139,TN,38139,157,35.0874,-89.7703,Zip Code Area,1,S,ESC,23.289851103541228
47157021311,38166,TN,38120,157,35.2017,-89.9715,Post Office or large volume customer,1,S,ESC,13.767136991214278
47049965100,38577,TN,38577,049,36.5781,-85.0384,Zip Code Area,10,S,ESC,36.310769356520346
47049965200,38504,TN,38504,049,36.3818,-84.7756,Zip Code Area,10,S,ESC,19.18182127101248
47049965200,38553,TN,38553,049,36.2112,-84.9777,Zip Code Area,10,S,ESC,40.09278243678956
47157021311,38135,TN,38135,157,35.2323,-89.8509,Zip Code Area,1,S,ESC,18.39148047912548
47049965200,38556,TN,38556,049,36.4245,-84.9357,Zip Code Area,10,S,ESC,33.401631949496114
47049965200,38589,TN,38589,049,36.2822,-85.0913,Zip Code Area,8,S,ESC,41.4097573077813
47051960500,37306,TN,37306,051,35.1415,-86.1728,Zip Code Area,5,S,ESC,37.29960755594483
47051960500,37318,TN,37318,051,35.1783,-86.0167,Zip Code Area,5,S,ESC,46.57156630163216
47051960500,37324,TN,37324,051,35.2326,-86.0589,Zip Code Area,5,S,ESC,53.398008141829095
47051960500,37345,TN,37345,051,35.0512,-86.2694,Zip Code Area,10,S,ESC,28.9849569932937
47051960700,37313,TN,37313,061,35.3516,-85.7003,Zip Code Area,3,S,ESC,51.24529952308173
47051960700,37356,TN,37356,061,35.2402,-85.8228,Zip Code Area,8,S,ESC,43.497475983654205
47049965200,38565,TN,38565,049,36.2598,-85.0015,Zip Code Area,10,S,ESC,42.88842177108735
47037016500,37242,TN,37243,037,36.1866,-86.7852,Post Office or large volume customer,1,S,ESC,0.0
47157021311,38134,TN,38134,157,35.1845,-89.8574,Zip Code Area,1,S,ESC,13.893627875443059
47157021311,38124,TN,38117,157,35.2017,-89.9715,Post Office or large volume customer,1,S,ESC,9.148490231264912
47047060800,38036,TN,38036,047,35.3274,-89.6198,Post Office or large volume customer,2,S,ESC,40.14657499124631
47047060800,38045,TN,38068,047,35.2904,-89.2322,Post Office or large volume customer,2,S,ESC,31.648921925889553
47047060800,38049,TN,38049,167,35.438,-89.5518,Zip Code Area,2,S,ESC,51.03722425038388
47047060800,38068,TN,38068,047,35.2772,-89.3918,Zip Code Area,2,S,ESC,31.648921925889553
47157021311,38002,TN,38002,157,35.2752,-89.7295,Zip Code Area,1,S,ESC,32.4231460156452
47157021311,38014,TN,38002,157,35.2673,-89.7687,Post Office or large volume customer,1,S,ESC,32.4231460156452
47157021311,38016,TN,38016,157,35.1602,-89.7816,Zip Code Area,1,S,ESC,22.799910536681594
47157021311,38133,TN,38133,157,35.2054,-89.8036,Zip Code Area,1,S,ESC,21.01472531169985
47157021311,38018,TN,38018,157,35.1556,-89.7762,Zip Code Area,1,S,ESC,21.57612991723432
47157021311,38029,TN,38029,157,35.2306,-89.8259,Post Office or large volume customer,1,S,ESC,20.29775007092282
