val,label,level,level_order,adult
20400,CANH,3,2,1
20401,CANH,3,2,1
20402,CANH,3,2,1
2041,CANH,3,2,1
20410,CANH,3,2,1
20411,CANH,3,2,1
20412,CANH,3,2,1
2042,CANH,3,2,1
20420,CANH,3,2,1
20421,CANH,3,2,1
20422,CANH,3,2,1
2048,CANH,3,2,1
20480,CANH,3,2,1
20481,CANH,3,2,1
20482,CANH,3,2,1
2049,CANH,3,2,1
20490,CANH,3,2,1
20491,CANH,3,2,1
20492,CANH,3,2,1
205,CANH,3,2,1
2050,CANH,3,2,1
20500,CANH,3,2,1
20501,CANH,3,2,1
20502,CANH,3,2,1
2051,CANH,3,2,1
20510,CANH,3,2,1
20511,CANH,3,2,1
20512,CANH,3,2,1
2052,CANH,3,2,1
20520,CANH,3,2,1
20521,CANH,3,2,1
20522,CANH,3,2,1
2053,CANH,3,2,1
20530,CANH,3,2,1
20531,CANH,3,2,1
20532,CANH,3,2,1
2058,CANH,3,2,1
20580,CANH,3,2,1
20581,CANH,3,2,1
20582,CANH,3,2,1
2059,CANH,3,2,1
20590,CANH,3,2,1
20591,CANH,3,2,1
20592,CANH,3,2,1
206,CANH,3,2,1
2060,CANH,3,2,1
20600,CANH,3,2,1
20601,CANH,3,2,1
20602,CANH,3,2,1
2061,CANH,3,2,1
20610,CANH,3,2,1
20611,CANH,3,2,1
20612,CANH,3,2,1
2062,CANH,3,2,1
20620,CANH,3,2,1
20621,CANH,3,2,1
20622,CANH,3,2,1
2068,CANH,3,2,1
20680,CANH,3,2,1
20681,CANH,3,2,1
20682,CANH,3,2,1
2069,CANH,3,2,1
20690,CANH,3,2,1
20691,CANH,3,2,1
20692,CANH,3,2,1
207,CANH,3,2,1
2070,CANH,3,2,1
20700,CANH,3,2,1
20701,CANH,3,2,1
20702,CANH,3,2,1
2071,CANH,3,2,1
20710,CANH,3,2,1
20711,CANH,3,2,1
20712,CANH,3,2,1
2072,CANH,3,2,1
20720,CANH,3,2,1
20721,CANH,3,2,1
20722,CANH,3,2,1
2078,CANH,3,2,1
20780,CANH,3,2,1
20781,CANH,3,2,1
20782,CANH,3,2,1
208,CANH,3,2,1
2080,CANH,3,2,1
20800,CANH,3,2,1
20801,CANH,3,2,1
20802,CANH,3,2,1
2081,CANH,3,2,1
20810,CANH,3,2,1
20811,CANH,3,2,1
20812,CANH,3,2,1
2082,CANH,3,2,1
20820,CANH,3,2,1
20821,CANH,3,2,1
20822,CANH,3,2,1
2088,CANH,3,2,1
20880,CANH,3,2,1
20881,CANH,3,2,1
20882,CANH,3,2,1
2089,CANH,3,2,1
20890,CANH,3,2,1
20891,CANH,3,2,1
20892,CANH,3,2,1
20900,CANH,3,2,1
20901,CANH,3,2,1
20902,CANH,3,2,1
20903,CANH,3,2,1
20910,CANH,3,2,1
20911,CANH,3,2,1
20912,CANH,3,2,1
20913,CANH,3,2,1
20914,CANH,3,2,1
20915,CANH,3,2,1
20916,CANH,3,2,1
20917,CANH,3,2,1
20920,CANH,3,2,1
20921,CANH,3,2,1
20922,CANH,3,2,1
20923,CANH,3,2,1
20924,CANH,3,2,1
20925,CANH,3,2,1
20926,CANH,3,2,1
20927,CANH,3,2,1
20929,CANH,3,2,1
20930,CANH,3,2,1
20931,CANH,3,2,1
20932,CANH,3,2,1
20933,CANH,3,2,1
20934,CANH,3,2,1
20935,CANH,3,2,1
20936,CANH,3,2,1
20940,CANB,3,5,1
20941,CANB,3,5,1
20942,CANB,3,5,1
